area,industry,size 0 to 4,size 5 to 9,size 10 to 19,size 20 to 49,size 50 to 99,size 100 to 249,size 250+,all businesses
Wiltshire,Food Drink & Tobacco,45,10,5,5,5,0,5,75
Wiltshire,Textiles Wood paper & Publishing,190,35,25,10,5,0,0,265
Wiltshire,Power & Utilities,40,5,5,0,0,0,0,50
Wiltshire,Chemicals Non Metallic minerals manufacturing,45,25,25,15,0,5,10,125
Wiltshire,Metal manufacturing,125,35,25,20,0,0,0,205
Wiltshire,Machinery & equipment (other manufacturing),335,65,60,55,20,10,5,550
Wiltshire,Retail & Wholesale,2275,785,420,205,55,25,10,3775
Wiltshire,Hotels & catering,575,350,265,155,30,0,5,1380
Wiltshire,Public Administration & social work,730,280,245,190,80,35,15,1575
Wiltshire,Education,295,100,85,125,65,30,5,705
Wiltshire,Transport & storage,485,60,75,45,20,0,5,690
Wiltshire,Other services,9355,965,435,240,90,55,5,11145
