geo_id,area,work_pattern,gender,median weekly pay excluding overtime
E10000013,Gloucestershire,part time,male,154.7
E10000027,Somerset,part time,male,143.8
E92000001,England,part time,female,163.7
E12000009,South West,part time,female,161
E06000022,Bath and North East Somerset,part time,female,168.8
E06000023,"Bristol, City of",part time,female,187.6
E06000024,North Somerset,part time,female,157.6
E06000025,South Gloucestershire,part time,female,133.2
E06000026,Plymouth,part time,female,168.6
E06000027,Torbay,part time,female,169.2
E06000028,Bournemouth,part time,female,169.9
E06000029,Poole,part time,female,172.2
E06000030,Swindon,part time,female,159.1
E06000052,Cornwall,part time,female,159.1
E06000053,Isles of Scilly,part time,female,
E06000054,Wiltshire,part time,female,158.2
E10000008,Devon,part time,female,158.6
E10000009,Dorset,part time,female,133.3
E10000013,Gloucestershire,part time,female,169
E10000027,Somerset,part time,female,158.5
